[2021-08-30 08:49:23.527531] 시스템 명령 실행 알림 - OpenAPI 로그인 완료
[2021-08-30 08:49:24.824131] 시스템 명령 실행 알림 - VI발동해제 등록 완료
[2021-08-30 08:49:25.074160] 실시간 알림 등록 완료 - 장운영시간 [1003]
[2021-08-30 08:49:25.339726] 실시간 알림 등록 완료 - [3000] 종목갯수 100
[2021-08-30 08:49:25.605287] 실시간 알림 등록 완료 - [3001] 종목갯수 100
[2021-08-30 08:49:25.870848] 실시간 알림 등록 완료 - [3002] 종목갯수 100
[2021-08-30 08:49:26.136414] 실시간 알림 등록 완료 - [3003] 종목갯수 100
[2021-08-30 08:49:26.401975] 실시간 알림 등록 완료 - [3004] 종목갯수 100
[2021-08-30 08:49:26.667558] 실시간 알림 등록 완료 - [3005] 종목갯수 100
[2021-08-30 08:49:26.933103] 실시간 알림 등록 완료 - [3006] 종목갯수 100
[2021-08-30 08:49:27.198666] 실시간 알림 등록 완료 - [3007] 종목갯수 100
[2021-08-30 08:49:27.464227] 실시간 알림 등록 완료 - [3008] 종목갯수 100
[2021-08-30 08:49:27.729785] 실시간 알림 등록 완료 - [3009] 종목갯수 100
[2021-08-30 08:49:27.995354] 실시간 알림 등록 완료 - [3010] 종목갯수 100
[2021-08-30 08:49:28.260911] 실시간 알림 등록 완료 - [3011] 종목갯수 100
[2021-08-30 08:49:28.526479] 실시간 알림 등록 완료 - [3012] 종목갯수 100
[2021-08-30 08:49:28.792046] 실시간 알림 등록 완료 - [3013] 종목갯수 100
[2021-08-30 08:49:29.057603] 실시간 알림 등록 완료 - [3014] 종목갯수 100
[2021-08-30 08:49:29.323169] 실시간 알림 등록 완료 - [3015] 종목갯수 100
[2021-08-30 08:49:29.588725] 실시간 알림 등록 완료 - [3016] 종목갯수 100
[2021-08-30 08:49:29.854290] 실시간 알림 등록 완료 - [3017] 종목갯수 100
[2021-08-30 08:49:30.119858] 실시간 알림 등록 완료 - [3018] 종목갯수 100
[2021-08-30 08:49:30.385419] 실시간 알림 등록 완료 - [3019] 종목갯수 100
[2021-08-30 08:49:30.650982] 실시간 알림 등록 완료 - [3020] 종목갯수 58
